asset_class,market_value,weight,expected_return,volatility,duration,yield,rating,currency,geography,liquidity_score,esg_score,spread_duration,modified_duration,dv01,convexity
Cash / Money Market,92.0,0.08,0.025,0.003,0.2,0.025,AA,EUR,Euro Area,1.0,70,0.0,0.19512195121951223,0.0017951219512195124,0.22195790797593998
French Government Bonds,172.5,0.15,0.032,0.055,7.5,0.031,AA,EUR,France,0.95,75,0.0,7.274490785645005,0.12548496605237633,56.62738988173517
Euro Government Bonds,172.5,0.15,0.033,0.06,7.0,0.032,AA-,EUR,Euro Area,0.9,72,0.0,6.782945736434108,0.11700581395348837,49.56817743059664
IG Corporate Bonds,287.5,0.25,0.038,0.065,5.5,0.038,A,EUR,Euro Area,0.75,65,4.8,5.298651252408478,0.15233622350674372,30.9754904635957
High Yield Bonds,57.5,0.05,0.06,0.11,3.5,0.065,BB,EUR,Euro Area,0.55,45,3.0,3.286384976525822,0.018896713615023476,12.419679684771937
Euro Equities,92.0,0.08,0.065,0.17,0.0,0.03,NR,EUR,Euro Area,0.95,60,0.0,0.0,0.0,0.0
US Equities,57.5,0.05,0.075,0.18,0.0,0.015,NR,USD,US,0.95,58,0.0,0.0,0.0,0.0
Global Equities,23.0,0.02,0.07,0.165,0.0,0.02,NR,Mixed,Global,0.9,62,0.0,0.0,0.0,0.0
Real Estate,92.0,0.08,0.045,0.1,0.0,0.04,NR,EUR,Euro Area,0.3,55,0.0,0.0,0.0,0.0
Infrastructure,69.0,0.06,0.05,0.09,0.0,0.045,NR,EUR,Euro Area,0.2,68,0.0,0.0,0.0,0.0
Private Debt,34.5,0.03,0.055,0.08,4.0,0.058,BBB,EUR,Euro Area,0.1,50,3.5,3.7807183364839316,0.013043478260869563,16.147159883924942
