family,year,payout_weight,base_cash_flow,cash_flow,inflation_sensitivity
Auto,1,0.28,89.60000000000001,91.84,1.0
Auto,2,0.24,76.8,80.68799999999999,1.0
Auto,3,0.16,51.2,55.13679999999999,1.0
Auto,4,0.11,35.2,38.854213749999985,1.0
Auto,5,0.08,25.6,28.964050249999985,1.0
Auto,6,0.05,16.0,18.55509469140624,1.0
Auto,7,0.03,9.6,11.411383235214835,1.0
Auto,8,0.02,6.4,7.797778544063471,1.0
Auto,9,0.02,6.4,7.992723007665058,1.0
Auto,10,0.01,3.2,4.096270541428342,1.0
Habitation,1,0.45000000000000007,81.00000000000001,82.62000000000002,0.8
Habitation,2,0.25000000000000006,45.00000000000001,46.818000000000005,0.8
Habitation,3,0.13000000000000003,23.400000000000006,24.83226720000001,0.8
Habitation,4,0.08000000000000002,14.400000000000002,15.587023104000002,0.8
Habitation,5,0.04000000000000001,7.200000000000001,7.9493817830400015,0.8
Habitation,6,0.020000000000000004,3.6000000000000005,4.054184709350401,0.8
Habitation,7,0.010000000000000002,1.8000000000000003,2.0676342017687044,0.8
Habitation,8,0.010000000000000002,1.8000000000000003,2.108986885804079,0.8
Habitation,9,0.005000000000000001,0.9000000000000001,1.0755833117600802,0.8
Habitation,10,0.005000000000000001,0.9000000000000001,1.0970949779952817,0.8
Responsabilité Civile,1,0.1,25.9995,26.844483750000002,1.3
Responsabilité Civile,2,0.14,36.399300000000004,38.803701260625004,1.3
Responsabilité Civile,3,0.14,36.399300000000004,40.064821551595315,1.3
Responsabilité Civile,4,0.12,31.1994,35.45736707316185,1.3
Responsabilité Civile,5,0.11,28.59945,33.558920544452974,1.3
Responsabilité Civile,6,0.1,25.9995,31.499623147406993,1.3
Responsabilité Civile,7,0.09,23.399549999999998,29.271024809727944,1.3
Responsabilité Civile,8,0.08,20.7996,26.864296103150316,1.3
Responsabilité Civile,9,0.07,18.199650000000002,24.270212510689866,1.3
Responsabilité Civile,10,0.05,12.99975,17.899281726633774,1.3
Professionnels,1,0.2,28.0,28.770000000000003,1.1
Professionnels,2,0.18,25.2,26.605057500000004,1.1
Professionnels,3,0.15,21.0,22.780580484375005,1.1
Professionnels,4,0.12,16.8,18.725637158156257,1.1
Professionnels,5,0.1,14.0,16.033826816671294,1.1
Professionnels,6,0.09,12.6,14.827281348716781,1.1
Professionnels,7,0.07,9.8,11.84946901118283,1.1
Professionnels,8,0.05,7.0,8.69666386356454,1.1
Professionnels,9,0.03,4.2,5.36149327188754,1.1
Professionnels,10,0.01,1.4000000000000001,1.8363114456214826,1.1
Autres,1,0.3,30.001499999999997,30.676533749999994,0.9
Autres,2,0.22,22.001099999999997,23.002287556874993,0.9
Autres,3,0.15,15.000749999999998,16.036253881980464,0.9
Autres,4,0.1,10.0005,10.931379729550018,0.9
Autres,5,0.08,8.000399999999999,8.941868618771913,0.9
Autres,6,0.06,6.000299999999999,6.8572954970207105,0.9
Autres,7,0.04,4.0001999999999995,4.674389763802451,0.9
Autres,8,0.02,2.0000999999999998,2.389781766744003,0.9
Autres,9,0.02,2.0000999999999998,2.4435518564957426,0.9
Autres,10,0.01,1.0000499999999999,1.2492658866334487,0.9
